Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
3_,D16,BLACK,,2.11207,0.0166648,0.00789025,,28.378,,0.77,0.2,0.03,0.98,0.02,,0.77,0.2,0.03,0.98,0.02
3_,D16,ASIAN,,2.41474,0.0116137,0.0048095,,21.252,,0.77,0.2,0.03,0.98,0.02,,0.77,0.2,0.03,0.98,0.02
3_,D16,HISPANIC,,2.46464,0.0151577,0.00615007,,27.087,,0.77,0.2,0.03,0.98,0.02,,0.77,0.2,0.03,0.98,0.02
3_,D2,BLACK,,2.66674,0.00219135,0.000821733,,29.938,,0.7,0.28,0.02,0.98,0.02,,0.7,0.28,0.02,0.98,0.02
3_,D2,CAUCASIAN,,1.41075,0.00414193,0.00293599,,28.026,,0.7,0.28,0.02,0.98,0.02,,0.7,0.28,0.02,0.98,0.02
3_,D2,HISPANIC,,1.05346,0.00554661,0.00526513,,24.931,,0.7,0.28,0.02,0.98,0.02,,0.7,0.28,0.02,0.98,0.02
3_,D2,ASIAN,,6.07737,0.000962186,0.000158323,,20.79,,0.7,0.28,0.02,0.98,0.02,,0.7,0.28,0.02,0.98,0.02
3_,D19,BLACK,,6.36317,5.5918e-07,8.78775e-08,,36.319,,0.66,0.31,0.03,0.98,0.02,,0.66,0.31,0.03,0.98,0.02
3_,D19,CAUCASIAN,,3.80712,5.53764e-07,1.45455e-07,,35.468,,0.66,0.31,0.03,0.98,0.02,,0.66,0.31,0.03,0.98,0.02
3_,D19,ASIAN,,3.49114,3.77436e-06,1.08113e-06,,39.158,,0.66,0.31,0.03,0.98,0.02,,0.66,0.31,0.03,0.98,0.02
3_,vWA,HISPANIC,,5.00556,0.00874783,0.00174762,,18.793,,0.81,0.15,0.04,0.98,0.02,,0.81,0.15,0.04,0.98,0.02
3_,vWA,BLACK,,5.8766,0.0148963,0.00253484,,30.177,,0.81,0.15,0.04,0.98,0.02,,0.81,0.15,0.04,0.98,0.02
3_,vWA,CAUCASIAN,,5.86275,0.00622914,0.0010625,,24.476,,0.81,0.15,0.04,0.98,0.02,,0.81,0.15,0.04,0.98,0.02
3_,vWA,ASIAN,,3.19644,0.00147808,0.000462414,,15.611,,0.81,0.15,0.04,0.98,0.02,,0.81,0.15,0.04,0.98,0.02
3_,TPOX,BLACK,,0.9793,0.02109,0.0215358,,34.176,,0.73,0.25,0.02,0.97,0.03,,0.73,0.25,0.02,0.97,0.03
3_,TPOX,CAUCASIAN,,0.444115,0.00428982,0.00965924,,30.921,,0.73,0.25,0.02,0.97,0.03,,0.73,0.25,0.02,0.97,0.03
3_,TPOX,HISPANIC,,0.7455,0.0062386,0.00836833,,25.497,,0.73,0.25,0.02,0.97,0.03,,0.73,0.25,0.02,0.97,0.03
3_,TPOX,ASIAN,,0.578186,0.00509486,0.0088118,,24.291,,0.73,0.25,0.02,0.97,0.03,,0.73,0.25,0.02,0.97,0.03
3_,D18,HISPANIC,,0.00750027,2.02957e-06,0.0002706,,19.53,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
3_,D18,CAUCASIAN,,0.00742821,2.79117e-06,0.000375753,,23.409,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
3_,D18,BLACK,,0.0134428,6.14706e-07,4.57276e-05,,28.224,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
3_,D18,ASIAN,,0.00792338,1.24586e-06,0.000157238,,20.426,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
3_,D5,BLACK,,17.3241,0.000520894,3.00676e-05,,37.562,,0.7,0.28,0.02,0.98,0.02,,0.7,0.28,0.02,0.98,0.02
3_,D5,CAUCASIAN,,11.9483,0.000558326,4.67287e-05,,33.135,,0.7,0.28,0.02,0.98,0.02,,0.7,0.28,0.02,0.98,0.02
3_,D5,HISPANIC,,13.2296,0.000435222,3.28974e-05,,28.927,,0.7,0.28,0.02,0.98,0.02,,0.7,0.28,0.02,0.98,0.02
3_,D5,ASIAN,,8.98172,0.000306838,3.41625e-05,,25.314,,0.7,0.28,0.02,0.98,0.02,,0.7,0.28,0.02,0.98,0.02
3_,FGA,CAUCASIAN,,1.76166,0.00141015,0.000800467,,23.572,,0.5,0.33,0.17,0.81,0.19,,0.5,0.33,0.17,0.81,0.19
3_,FGA,BLACK,,1.48647,0.000759776,0.000511129,,25.363,,0.5,0.33,0.17,0.81,0.19,,0.5,0.33,0.17,0.81,0.19
3_,FGA,HISPANIC,,1.29426,0.000399365,0.000308567,,21.7,,0.5,0.33,0.17,0.81,0.19,,0.5,0.33,0.17,0.81,0.19
3_,FGA,ASIAN,,2.39493,0.000507915,0.00021208,,19.837,,0.5,0.33,0.17,0.81,0.19,,0.5,0.33,0.17,0.81,0.19
Overall:,15 Files,BLACK,,0.000203011,2.81247e-53,1.38538e-49,,642.799
Overall:,15 Files,CAUCASIAN,,5.02007e-06,3.84866e-52,7.66655e-47,,642.799
Overall:,15 Files,HISPANIC,,6.75946e-06,4.93443e-52,7.30004e-47,,642.799
